run_id,harness,architecture_family,provider,model,temperature,prompt_version,schema_version,mapping_version,dataset_n,llm_calls_per_row,mean_input_tokens,mean_output_tokens,mean_total_tokens,latency_ms,estimated_cost_usd,modules_invoked,intermediate_artifacts,external_tools
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,deterministic,none,0.0,rules_v1,1.0.0,,25,0,0.0,0.0,0.0,0,0.0,0,1,
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,deterministic,none,0.0,exect_lite_rules_v1,1.0.0,exect_lite_v1,25,0,0.0,0.0,0.0,0,0.0,0,1,
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,exect_v2_external,none,0.0,exect_v2_external_v1,1.0.0,exect_v2_v1,25,0,0.0,0.0,0.0,0,0.0,0,1,
matrix_gpt-5_4-mini-2026-03-17_direct_full_contract,direct_full_contract,direct_llm,openai,gpt-5.4-mini-2026-03-17,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,996.6,1249.48,2246.08,176280,0.2247945,0,3,
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,openai,gpt-5.4-mini-2026-03-17,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,5,3071.12,1044.36,4115.48,242908,0.271821,6,3,
matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,openai,gpt-5.4-mini-2026-03-17,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,6,5751.12,1364.96,7116.08,321484,0.420411,7,4,
matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,retrieval_field_extractors,retrieval_field_pipeline,openai,gpt-5.5-2026-04-23,0.0,retrieval_field_extractor_v1,final_extraction_v1,,25,5,5172.64,2364.64,7537.28,958895,1.53332,3,3,
matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,openai,gpt-5.5-2026-04-23,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,5,3071.12,2330.32,5401.44,882583,1.25776,6,3,
matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,openai,gpt-5.5-2026-04-23,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,6,5890.68,4718.84,10609.52,1852758,2.5059,7,4,
